,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
0,01000_2007,0.6428571428571429,41.44285714285714,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,2007.0,23.076923076923077,4.0,48052.0,48995.0,,,5.800599201065246,51.74405551586897,10.686882327665582,84.6987951807229,20.643627140139508
1,01000_2008,0.4444444444444444,28.11111111111111,0.2222222222222222,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,2008.0,27.115384615384617,4.0,50837.0,49744.0,1.7972016725635254,17.62825667417176,5.418044021607676,51.501688645866835,11.455587969017202,84.28968142531748,21.348560017473247
2,01000_2009,0.5806451612903226,34.645161290322584,0.5161290322580645,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,2009.0,27.586206896551722,4.0,51463.0,49584.0,2.0409809616005163,17.802113585027428,5.926356911312443,51.482333010648595,10.30617603102153,85.03606724077663,21.837363754806315
3,01000_2010,0.4,55.88,0.48,0.2,0.0,0.0,0.0,0.0,0.0,2010.0,29.347826086956523,4.0,53255.0,53155.0,2.319631267049196,17.82146552535039,3.1038070283600496,51.50032922584893,10.587459988702692,85.33231023491913,21.74772754102231
4,01000_2011,0.5384615384615384,45.69230769230769,0.6923076923076923,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,2011.0,25.0,4.0,53899.0,53944.0,2.4061990212071778,17.966780364822778,7.548831865185752,51.47931187898561,10.87869231773992,86.45209797287528,21.624591538706227
5,01000_2012,0.5,42.714285714285715,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,2012.0,28.46153846153846,4.0,53773.0,54590.0,2.399706906026745,17.944678512548084,8.5724030772729,51.38670086096355,11.55100912358308,85.112679262463,21.707830639653995
6,01000_2013,0.5555555555555556,46.52777777777778,0.5555555555555556,0.05555555555555555,0.0,1.0,0.0,0.0,0.0,2013.0,28.235294117647058,4.0,53682.0,54907.0,2.4860218187116394,18.216256579306826,9.39132409720645,51.20294315843152,12.133384691575413,85.59222321828777,20.932317346481398
7,01000_2014,0.5,51.416666666666664,0.75,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,2014.0,30.416666666666668,4.0,52475.0,55136.0,2.522852582704585,18.41990713871155,8.531918924038644,51.440075449796865,12.80523468343325,86.16730604697376,21.941324207214418
8,01000_2015,0.6153846153846154,51.0,0.6923076923076923,0.15384615384615385,1.0,0.0,0.0,1.0,0.0,2015.0,31.923076923076923,4.0,51281.0,55221.0,2.6077035910251536,18.536426359537135,7.639584135541008,51.56733851252241,12.879382402861678,87.18026377378231,23.230265150472203
9,01000_2016,0.8,54.53333333333333,0.7333333333333333,0.5333333333333333,1.0,0.0,0.0,1.0,0.0,2016.0,29.333333333333332,4.0,53099.0,55049.0,2.5722538102417847,18.370905920180203,5.591657262928519,51.17622481788951,12.266017070222352,87.58295398453355,24.592771348653546
